team,game,game_week,total_ck_for,xg,shots_from_ck
Malut United FC,Malut United FC - PERSEBAYA Surabaya,2,6,0.0812308176242864,2
Malut United FC,PERSIK Kediri - Malut United FC,3,2,0,0
Malut United FC,Malut United FC - Semen Padang FC,4,3,0.027347540791883,1
Malut United FC,Borneo FC Samarinda - Malut United FC,5,1,0,0
Malut United FC,Malut United FC - Bali United FC,6,5,0.187685642149688,3
Malut United FC,PSS Sleman - Malut United FC,7,5,0,0
Malut United FC,AREMA FC - Malut United FC,8,5,0.0140274444338653,1
Malut United FC,Malut United FC - PS Barito Putera,9,5,0.170117970029411,2
Malut United FC,PERSITA Tangerang - Malut United FC,10,6,0.129775459556279,2
Malut United FC,Malut United FC - PERSIS Solo,11,5,0.133431289966932,2
Malut United FC,PSBS Biak - Malut United FC,12,3,0,0
Malut United FC,Malut United FC - Dewa United FC,13,8,0.058469797094678,1
Malut United FC,PERSIB Bandung - Malut United FC,14,8,0,0
Malut United FC,Malut United FC - PSM Makassar,15,5,0.127980517436677,3
Malut United FC,PSIS Semarang - Malut United FC,16,7,0.140169212236649,2
Malut United FC,Malut United FC - PERSIJA Jakarta,17,10,0.0969194417590104,6
PERSEBAYA Surabaya,PERSEBAYA Surabaya - PSS Sleman,1,6,0.0539232236979795,1
PERSEBAYA Surabaya,Malut United FC - PERSEBAYA Surabaya,2,8,0.145973629236592,2
PERSEBAYA Surabaya,PERSEBAYA Surabaya - PS Barito Putera,3,4,0,0
PERSEBAYA Surabaya,PERSITA Tangerang - PERSEBAYA Surabaya,4,3,0,0
PERSEBAYA Surabaya,PERSEBAYA Surabaya - PERSIS Solo,5,5,0.165844451062895,2
PERSEBAYA Surabaya,PSBS Biak - PERSEBAYA Surabaya,6,5,0.101985489609223,1
PERSEBAYA Surabaya,PERSEBAYA Surabaya - Dewa United FC,7,5,0.172491888002652,1
PERSEBAYA Surabaya,PERSIB Bandung - PERSEBAYA Surabaya,8,3,0,0
PERSEBAYA Surabaya,PERSEBAYA Surabaya - PSM Makassar,9,6,0.0907096704913835,2
PERSEBAYA Surabaya,PSIS Semarang - PERSEBAYA Surabaya,10,5,0,0
PERSEBAYA Surabaya,PERSEBAYA Surabaya - PERSIJA Jakarta,11,3,0.245454635361688,3
PERSEBAYA Surabaya,Madura United FC - PERSEBAYA Surabaya,12,5,0.0291673539467112,1
PERSEBAYA Surabaya,PERSEBAYA Surabaya - AREMA FC,13,1,0.0129663381014779,1
PERSEBAYA Surabaya,PERSEBAYA Surabaya - PERSIK Kediri,14,6,0.12071465894757,3
PERSEBAYA Surabaya,Semen Padang FC - PERSEBAYA Surabaya,15,4,0.0694099505179029,1
PERSEBAYA Surabaya,PERSEBAYA Surabaya - Borneo FC Samarinda,16,2,0,0
PERSEBAYA Surabaya,Bali United FC - PERSEBAYA Surabaya,17,11,0.255981428745642,2
PERSIB Bandung,PERSIB Bandung - PSBS Biak,1,4,0.0694099505179029,1
PERSIB Bandung,Dewa United FC - PERSIB Bandung,2,3,0.0355707178460168,1
PERSIB Bandung,PERSIB Bandung - AREMA FC,3,5,0.0222070575311109,1
PERSIB Bandung,PSM Makassar - PERSIB Bandung,4,3,0.227547216779188,1
PERSIB Bandung,PERSIB Bandung - PSIS Semarang,5,4,0.293864787275491,2
PERSIB Bandung,PERSIB Bandung - PERSIJA Jakarta,6,1,0,0
PERSIB Bandung,Madura United FC - PERSIB Bandung,7,2,0.14645280483314,1
PERSIB Bandung,PERSIB Bandung - PERSEBAYA Surabaya,8,2,0.150217404999355,1
PERSIB Bandung,PERSIK Kediri - PERSIB Bandung,9,3,0,0
PERSIB Bandung,PERSIB Bandung - Semen Padang FC,10,10,0.753433606643724,6
PERSIB Bandung,PERSIB Bandung - Borneo FC Samarinda,11,4,0,0
PERSIB Bandung,PSS Sleman - PERSIB Bandung,13,4,0.0743412730625432,1
PERSIB Bandung,PERSIB Bandung - Malut United FC,14,9,0,0
PERSIB Bandung,PS Barito Putera - PERSIB Bandung,15,5,0.303781312474584,2
PERSIB Bandung,PERSIB Bandung - PERSITA Tangerang,16,15,0.153259261372868,3
PERSIB Bandung,PERSIS Solo - PERSIB Bandung,17,7,0,0
PERSIJA Jakarta,PERSIJA Jakarta - PS Barito Putera,1,4,0.246263786589073,3
PERSIJA Jakarta,PERSITA Tangerang - PERSIJA Jakarta,2,8,0,0
PERSIJA Jakarta,PERSIJA Jakarta - PERSIS Solo,3,3,0,0
PERSIJA Jakarta,PSBS Biak - PERSIJA Jakarta,4,5,0.0186948970855311,1
PERSIJA Jakarta,PERSIJA Jakarta - Dewa United FC,5,8,0.114269122637986,2
PERSIJA Jakarta,PERSIB Bandung - PERSIJA Jakarta,6,4,0,0
PERSIJA Jakarta,PERSIJA Jakarta - PSM Makassar,7,5,0.116790776506043,1
PERSIJA Jakarta,PSIS Semarang - PERSIJA Jakarta,8,8,0.0927148878245866,2
PERSIJA Jakarta,AREMA FC - PERSIJA Jakarta,9,6,0,0
PERSIJA Jakarta,PERSIJA Jakarta - Madura United FC,10,4,0.254589238127184,3
PERSIJA Jakarta,PERSEBAYA Surabaya - PERSIJA Jakarta,11,5,0.171614674282047,2
PERSIJA Jakarta,PERSIJA Jakarta - PERSIK Kediri,12,6,0.190094338023206,2
PERSIJA Jakarta,Semen Padang FC - PERSIJA Jakarta,13,4,0.0603796436482982,1
PERSIJA Jakarta,PERSIJA Jakarta - Borneo FC Samarinda,14,1,0.225553015851822,1
PERSIJA Jakarta,Bali United FC - PERSIJA Jakarta,15,8,0.104535603481684,2
PERSIJA Jakarta,PERSIJA Jakarta - PSS Sleman,16,6,0.105595035543061,1
PERSIJA Jakarta,Malut United FC - PERSIJA Jakarta,17,4,0.0223389408879027,3
PERSIK Kediri,PERSIK Kediri - Bali United FC,1,0,0,0
PERSIK Kediri,PSS Sleman - PERSIK Kediri,2,2,0.315677192643488,1
PERSIK Kediri,PERSIK Kediri - Malut United FC,3,4,0.529830772840425,4
